System,Reaction,Formula,N_Atoms,Total_Mass,RMSD_Init_Final_CINEB,RMSD_Init_Final_MMF,Calls_CINEB,Time_CINEB,Term_CINEB,Calls_MMF,Time_MMF,Term_MMF
01_hcn,bold('01:')~HCN*'->'*HNC,CHN,3,27.026,0.13607212277652841,0.13604347383050572,754,,GOOD,163,,GOOD
02_hcch,bold('02:')~HCCH*'->'*CCH[2],C2H2,4,26.037999999999997,0.34388491856006664,0.3435148262490332,258,,GOOD,180,,GOOD
03_h2co,bold('03:')~H[2]*CO*'->'*H[2] + CO,CH2O,4,30.025999999999996,0.3142187435236981,0.3142760843703949,706,,GOOD,386,,GOOD
04_ch3o,bold('04:')~CH[3]*O*'->'*CH[2]*OH,CH3O,5,31.033999999999995,0.2535639198661466,0.25239397249936324,250,,GOOD,86,,GOOD
05_cyclopropyl,bold('05:')~Cyclopropyl~ring~opening,C3H5,8,41.073000000000015,0.1484840094512157,0.14471764087590036,178,,GOOD,88,,GOOD
06_bicyclobutane,bold('06:')~Bicyclo1.1.0*butane*'->'*italic(trans)-butadiene,C4H6,10,54.09200000000001,0.5340481550683408,0.5245429226656573,522,,GOOD,414,,GOOD
08_formyloxyethyl,"bold('08:')~Formyloxyethyl~1*','*2-migration",C3H5O2,10,73.07099999999998,0.1132036315852316,0.11481732928151431,458,,GOOD,130,,GOOD
09_parentdielsalder,bold('09:')~Parent~Diels-Alder~cycloaddition,C6H10,16,82.14599999999994,0.3823798683189231,0.38407072319285196,658,,GOOD,209,,GOOD
10_tetrazine,bold('10:')~italic(s)-tetrazine*'->'*2*HCN + N[2],C2H2N4,8,82.06599999999999,0.49237560629946786,0.4910084957529628,570,,GOOD,110,,GOOD
11_trans_butadiene,bold('11:')~italic(trans)-butadiene*'->'*italic(cis)-butadiene,C4H6,10,54.09200000000001,0.12233918735789572,0.09938401174400155,162,,GOOD,132,,GOOD
12_ethane_h2_abstraction,bold('12:')~CH[3]*CH[3]*'->'*CH[2]*CH[2] + H[2],C2H6,8,30.069999999999993,0.4238056890319761,0.4146918286674449,906,,GOOD,259,,GOOD
13_hf_abstraction,bold('13:')~CH[3]*CH[2]*F*'->'*CH[2]*CH[2] + HF,C2H5F,8,48.060402999999994,0.3419052061401127,0.3417216413386081,362,,GOOD,138,,GOOD
14_vinyl_alcohol,bold('14:')~Acetaldehyde~keto-enol~tautomerism,C2H4O,7,44.05300000000001,0.3715999725318764,0.39952189315260644,282,,GOOD,121,,GOOD
15_hocl,bold('15:')~HOCl*'->'*HCl + CO,CHClO,4,64.468,0.2413955447637675,0.24096674340520208,450,,GOOD,184,,GOOD
16_h2po4_anion,bold('16:')~H[2]*O + PO[3]^-{}*'->'*H[2]*PO[4]^-{},H2O4P,7,96.985762,0.6260174816413271,0.6149056817754861,866,,GOOD,322,,GOOD
17_claisen,bold('17:')~CH[2]*CHCH[2]*CH[2]*CHO~Claisen~rearrangement,C5H8O,14,84.11799999999995,0.8349077831439099,0.8091541894767683,802,,GOOD,570,,GOOD
18_silylene_insertion,bold('18:')~SiH[2] + CH[3]*CH[3]*'->'*SiH[3]*CH[2]*CH[3],C2H8Si,11,60.17100000000002,0.2691964210674866,0.26366169194100514,858,,GOOD,308,,GOOD
19_hnccs,bold('19:')~HNCCS*'->'*HNC + CS,C2HNS,5,71.09700000000001,0.4220338712892227,0.6088756569598162,698,,GOOD,345,,GOOD
20_hconh3_cation,bold('20:')~HCONH[3]^+{}*'->'*NH[4]^+{} + CO,CH4NO,7,46.049000000000014,0.3956016038641234,0.3914253273271474,626,,GOOD,232,,GOOD
21_acrolein_rot,bold('21:')~Acrolein~rotational~TS,C3H4O,8,56.064000000000014,0.07971402531445636,0.08981298296354176,442,,GOOD,327,,GOOD
22_hconhoh,bold('22:')~HCONHOH*'->'*HCOHNHO,CH3NO2,7,61.040000000000006,0.2392771601898472,0.24331571596248888,282,,GOOD,133,,GOOD
23_hcn_h2,bold('23:')~HNC + H[2]*'->'*H[2]*CNH,CH3N,5,29.041999999999998,0.31681638961960795,0.3159640253516585,770,,GOOD,414,,GOOD
24_h2cnh,bold('24:')~H[2]*CNH*'->'*HCNH[2],CH3N,5,29.041999999999998,0.24339779059150804,0.2412709318158898,882,,GOOD,230,,GOOD
25_hcnh2,bold('25:')~HCNH[2]*'->'*HCN + H[2],CH3N,5,29.041999999999998,0.5383476100990854,0.5388837395216667,914,,GOOD,158,,GOOD
